CookerStat, GenerateAssetRegistry=0.064317, Initialize=0.256952, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_596A7B974593367699D466B872AEF427__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1926, Duration=3.988665, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A55BBB124B925EBB024C7BBD00D9C6E2__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=661, Duration=3.746111, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_BDE4209A4AD350F4257D889330ACD866__1_0_13123_0, StartTime=2016.07.29-23.51.07, HierarchicalDDC=, DataSize=1420, Duration=2.924059, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_A5BC641745C1191EA81BF5938AA78E7B__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=458, Duration=3.758911, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_14, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FE8F50964ACC89E66B76759647BE601E__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=6205, Duration=3.396683, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_DEA943344A857AF11D2B379B81923121__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2439, Duration=2.982616, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B58C6E9042706C62E623CBAE3DC9D4BB__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=1001, Duration=3.696512, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_15, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_F5405A7645BA57D82EC75187F048CA7F__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=3656, Duration=3.546756, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_5AB1EEC64D6A0ACE071128AD4C7A5FF8__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=1341, Duration=3.688831, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdEE9F59A34CCE52DF238587A4818E6770_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_D06409C04412F60F9AB9249527CE7164__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2447, Duration=4.977748, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_16, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8814A47942A938FBC37A149F77E0B14D__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=1329, Duration=3.451083, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_18, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_FA9BE95D44FBF9DD1393BC85591C5869__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2673, Duration=2.650470, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionIdFCB2F5144541C97F01120392B33F9894_19, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_23865A7847D9C2A0DA7E6E9F8D0E33C6__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=1398, Duration=2.962779, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
DDCTransactionId95D1E10240BB8710F91CB48E4E05F512_17, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_8593E71A4BFF741BF51FD182A4F50739__1_0_13123_0, StartTime=2016.07.30-00.18.14, HierarchicalDDC=, DataSize=2726, Duration=3.713474, RunGuid=RunID28580D0C4A42AA5DC982F69B221A14CD
